acticity_id,practice_id,description,capability_lvl
588,"""BAI03.01""","""After quality assurance approval, submit the final high-level design to the project stakeholders and the sponsor/business process owner for approval based on agreed criteria. This design will evolve throughout the project as understanding grows.""",2
589,"""BAI03.02""","""Design progressively the business process activities and work flows that need to be performed in conjunction with the new application system to meet the enterprise objectives, including the design of the manual control activities.""",2
590,"""BAI03.02""","""Design the application processing steps. These steps include specification of transaction types and business processing rules, automated controls, data definitions/business objects, use cases, external interfaces, design constraints, and other requirements (e.g., licensing, legal, standards and internationalization/localization).""",2
591,"""BAI03.02""","""Classify data inputs and outputs according to enterprise architecture standards. Specify the source data collection design. Document the data inputs (regardless of source) and validation for processing transactions as well as the methods for validation. Design the identified outputs, including data sources.""",2
592,"""BAI03.02""","""Design the system/solution interface, including any automated data exchange.""",2
593,"""BAI03.02""","""Design data storage, location, retrieval and recoverability.""",2
594,"""BAI03.02""","""Design appropriate redundancy, recovery and backup.""",2
595,"""BAI03.03""","""Within a separate environment, develop the proposed detailed design for business processes, supporting services, applications, infrastructure and information repositories.""",2
596,"""BAI03.03""","""When third-party providers are involved with the solution development, ensure that maintenance, support, development standards and licensing are addressed and adhered to in contractual obligations.""",2
597,"""BAI03.03""","""Track change requests and design, performance and quality reviews. Ensure active participation of all impacted stakeholders.""",2
598,"""BAI03.03""","""Document all solution components according to defined standards. Maintain version control over all developed components and associated documentation.""",2
599,"""BAI03.05""","""Integrate and configure business and IT solution components and information repositories in line with detailed specifications and quality requirements. Consider the role of users, business stakeholders and the process owner in the configuration of business processes.""",2
600,"""BAI03.05""","""Complete and update business process and operational manuals, where necessary, to account for any customization or special conditions unique to the implementation.""",2
601,"""BAI03.05""","""Consider all relevant information control requirements in solution component integration and configuration. Include implementation of business controls, where appropriate, into automated application controls such that processing is accurate, complete, timely, authorized and auditable.""",2
602,"""BAI03.07""","""Create an integrated test plan and practices commensurate with the enterprise environment and strategic technology plans. Ensure that the integrated test plan and practices will enable the creation of suitable testing and simulation environments to help verify that the solution will operate successfully in the live environment and deliver the intended results and that controls are adequate.""",2
603,"""BAI03.07""","""Create a test environment that supports the full scope of the solution. Ensure that the test environment reflects, as closely as possible, real-world conditions, including the business processes and procedures, range of users, transaction types, and deployment conditions.""",2
604,"""BAI03.08""","""Undertake testing of solutions and their components in accordance with the testing plan. Include testers independent from the solution team, with representative business process owners and end users. Ensure that testing is conducted only within the development and test environments.""",2
605,"""BAI03.08""","""Use clearly defined test instructions, as defined in the test plan. Consider the appropriate balance between automated scripted tests and interactive user testing.""",2
606,"""BAI03.08""","""Undertake all tests in accordance with the test plan and practices. Include the integration of business processes and IT solution components and of nonfunctional requirements (e.g., security, privacy, interoperability, usability).""",2
607,"""BAI03.08""","""Identify, log and classify (e.g., minor, significant and mission-critical) errors during testing. Repeat tests until all significant errors have been resolved. Ensure that an audit trail of test results is maintained.""",2
608,"""BAI03.08""","""Record testing outcomes and communicate results of testing to stakeholders in accordance with the test plan.""",2
609,"""BAI03.10""","""Develop and execute a plan for the maintenance of solution components. Include periodic reviews against business needs and operational requirements such as patch management, upgrade strategies, risk, privacy, vulnerabilities assessment and security requirements.""",2
610,"""BAI03.02""","""Design the interface between the user and the system application so that it is easy to use and self-documenting.""",3
611,"""BAI03.02""","""Consider the impact of the solution’s need for infrastructure performance, being sensitive to the number of computing assets, bandwidth intensity and time sensitivity of the information.""",3
612,"""BAI03.02""","""Proactively evaluate for design weaknesses (e.g., inconsistencies, lack of clarity, potential flaws) throughout the life cycle. Identify improvements when required.""",3
613,"""BAI03.02""","""Provide an ability to audit transactions and identify root causes of processing errors.""",3
614,"""BAI03.03""","""Assess the impact of solution customization and configuration on the performance and efficiency of acquired solutions and on interoperability with existing applications, operating systems and other infrastructure. Adapt business processes as required to leverage the application capability.""",3
615,"""BAI03.03""","""Ensure that responsibilities for using high-security or restricted-access infrastructure components are clearly defined and understood by those who develop and integrate infrastructure components. Their use should be monitored and evaluated.""",3
616,"""BAI03.04""","""Create and maintain a plan for the acquisition of solution components. Consider future flexibility for capacity additions, transition costs, risk and upgrades over the lifetime of the project.""",3
617,"""BAI03.04""","""Review and approve all acquisition plans. Consider risk, costs, benefits and technical conformance with enterprise architecture standards.""",3
618,"""BAI03.04""","""Assess and document the degree to which acquired solutions require adaptation of business process to leverage the benefits of the acquired solution.""",3
619,"""BAI03.04""","""Follow required approvals at key decision points during the procurement processes.""",3
620,"""BAI03.04""","""Record receipt of all infrastructure and software acquisitions in an asset inventory.""",3
621,"""BAI03.05""","""Implement audit trails during configuration and integration of hardware and infrastructural software to protect resources and ensure availability and integrity.""",3
622,"""BAI03.05""","""Consider when the effect of cumulative customizations and configurations (including minor changes that were not subjected to formal design specifications) requires a high-level reassessment of the solution and associated functionality.""",3
623,"""BAI03.05""","""Configure acquired application software to meet business processing requirements.""",3
624,"""BAI03.05""","""Define product and service catalogues for relevant internal and external target groups, based on business requirements.""",3
625,"""BAI03.05""","""Ensure the interoperability of solution components with supporting tests, preferably automated.""",3
626,"""BAI03.06""","""Define a QA plan and practices include, for example, specification of quality criteria, validation and verification processes, definition of how quality will be reviewed, necessary qualifications of quality reviewers, and roles and responsibilities for the achievement of quality.""",3
627,"""BAI03.07""","""Create test procedures that align with the plan and practices and allow evaluation of the operation of the solution in real-world conditions. Ensure that the test procedures evaluate the adequacy of the controls, based on enterprisewide standards that define roles, responsibilities and testing criteria, and are approved by project stakeholders and the sponsor/business process owner.""",3
628,"""BAI03.07""","""Document and save the test procedures, cases, controls and parameters for future testing of the application.""",3
629,"""BAI03.09""","""Assess the impact of all solution change requests on the solution development, the original business case and the budget. Categorize and prioritize them accordingly.""",3
630,"""BAI03.09""","""Track changes to requirements, enabling all stakeholders to monitor, review and approve the changes. Ensure that the outcomes of the change process are fully understood and agreed on by all the stakeholders and the sponsor/business process owner.""",3
631,"""BAI03.09""","""Apply change requests, maintaining the integrity of integration and configuration of solution components. Assess the impact of any major solution upgrade and classify it according to agreed objective criteria (such as enterprise requirements), based on the outcome of analysis of the risk involved (such as impact on existing systems and processes or security/privacy), cost benefit justification and other requirements.""",3
632,"""BAI03.10""","""Assess the significance of a proposed maintenance activity on current solution design, functionality and/or business processes. Consider risk, user impact and resource availability. Ensure that business process owners understand the effect of designating changes as maintenance.""",3
633,"""BAI03.10""","""In the event of major changes to existing solutions that result in significant change in current designs and/or functionality and/or business processes, follow the development process used for new systems. For maintenance updates, use the change management process.""",3
634,"""BAI03.11""","""Propose definitions of the new or changed IT products and services to ensure that they are fit for purpose. Document the proposed definitions in the portfolio list of products and services to be developed.""",3
635,"""BAI03.11""","""Propose new or changed service level options (service times, user satisfaction, availability, performance, capacity, security, privacy, continuity, compliance and usability) to ensure that the IT products and services are fit for use. Document the proposed service options in the portfolio.""",3
636,"""BAI03.11""","""Interface with business relationship management and portfolio management to agree on the proposed product and service definitions and service level options.""",3
637,"""BAI03.11""","""If product or service change falls within agreed approval authority, build the new or changed IT products and services or service level options. Otherwise, pass the change to portfolio management for investment review.""",3
638,"""BAI03.12""","""Analyze and assess the impact of choosing a development methodology (i.e., waterfall, Agile, bimodal) on the available resources, architecture requirements, configuration settings and system rigidity.""",3
639,"""BAI03.12""","""Establish the appropriate development methodology and organizational approach that delivers the proposed solution efficiently and effectively and that is capable of meeting business, architecture and system requirements. Adapt processes as required to the chosen strategy.""",3
640,"""BAI03.12""","""Establish the needed project teams as defined by the chosen development methodology. Provide sufficient training.""",3
641,"""BAI03.12""","""Consider applying a dual system, if required, in which cross-functional groups (digital factories) focus on developing one product or process using a different technology, operational, or managerial methodology from the rest of the company. Embedding these groups in business units has the advantage of spreading the new culture of agile development and making this digital factory approach the norm.""",3
642,"""BAI03.06""","""Frequently monitor the solution quality based on project requirements, enterprise policies, adherence to development methodologies, quality management procedures and acceptance criteria.""",4
643,"""BAI03.06""","""Employ, as appropriate, code inspection, test-driven development practices, automated testing, continuous integration, walkthroughs and testing of applications. Report on outcomes of the monitoring process and testing to the application software development team and IT management.""",4
644,"""BAI03.06""","""Monitor all quality exceptions and address all corrective actions. Maintain a record of all reviews, results, exceptions and corrections. Repeat quality reviews, where appropriate, based on the amount of rework and corrective action.""",4
645,"""BAI03.10""","""Ensure that the pattern and volume of maintenance activities are analyzed periodically for abnormal trends that indicate underlying quality or performance problems, cost/benefit of major upgrade, or replacement in lieu of maintenance.""",4
646,"""BAI04.01""","""Consider the following (current and forecasted) in the assessment of availability, performance and capacity of services and resources: customer requirements, business priorities, business objectives, budget impact, resource utilization, IT capabilities and industry trends.""",2
647,"""BAI04.02""","""Identify only those solutions or services that are critical in the availability and capacity management process.""",2
648,"""BAI04.04""","""Provide capacity reports to the budgeting processes.""",2
649,"""BAI04.01""","""Identify and follow up on all incidents caused by inadequate performance or capacity.""",3
650,"""BAI04.02""","""Map the selected solutions or services to the application(s) and infrastructure (IT and facility) on which they depend to enable a focus on critical resources for availability planning.""",3
651,"""BAI04.03""","""Identify availability and capacity implications of changing business needs and improvement opportunities. Use modeling techniques to validate availability, performance and capacity plans.""",3
652,"""BAI04.04""","""Establish a process for gathering data to provide management with monitoring and reporting information for availability, performance and capacity workload of all I&T-related resources.""",3
653,"""BAI04.05""","""Obtain guidance from vendor product manuals to ensure an appropriate level of performance availability for peak processing and workloads.""",3
654,"""BAI04.05""","""Define an escalation procedure for swift resolution in case of emergency capacity and performance problems.""",3
655,"""BAI04.01""","""Monitor actual performance and capacity usage against defined thresholds, supported, where necessary, with automated software.""",4
656,"""BAI04.01""","""Regularly evaluate the current levels of performance for all processing levels (business demand, service capacity and resource capacity) by comparing them against trends and SLAs. Take into account changes in the environment.""",4
657,"""BAI04.02""","""Collect data on availability patterns from logs of past failures and performance monitoring. Use modeling tools that help predict failures based on past usage trends and management expectations of new environment or user conditions.""",4
658,"""BAI04.02""","""Based on the collected data, create scenarios that describe future availability situations to illustrate a variety of potential capacity levels needed to achieve the availability performance objective.""",4
659,"""BAI04.02""","""Based on the scenarios, determine the likelihood that the availability performance objective will not be achieved.""",4
660,"""BAI04.02""","""Determine the impact of the scenarios on the business performance measures (e.g., revenue, profit, customer services). Engage the business-line, functional (especially finance) and regional leaders to understand their evaluation of impact.""",4
661,"""BAI04.02""","""Ensure that business process owners fully understand and agree to the results of this analysis. From the business owners, obtain a list of unacceptable risk scenarios that require a response to reduce risk to acceptable levels.""",4
662,"""BAI04.03""","""Review availability and capacity implications of service trend analysis.""",4
663,"""BAI04.03""","""Ensure that management performs comparisons of actual demand on resources against forecasted supply and demand to evaluate current forecasting techniques and make improvements where possible.""",4
664,"""BAI04.04""","""Provide regular reporting of the results in an appropriate form for review by IT and business management and communication to enterprise management.""",4
665,"""BAI04.04""","""Integrate monitoring and reporting activities in the iterative capacity management activities (monitoring, analysis, tuning and implementations).""",4
666,"""BAI04.05""","""Identify performance and capacity gaps based on monitoring current and forecasted performance. Use the known availability, continuity and recovery specifications to classify resources and allow prioritization.""",4
667,"""BAI04.03""","""Prioritize needed improvements and create cost-justifiable availability and capacity plans.""",5
668,"""BAI04.03""","""Adjust the performance and capacity plans and SLAs based on realistic, new, proposed and/or projected business processes and supporting services, applications and infrastructure changes. Also include reviews of actual performance and capacity usage, including workload levels.""",5
669,"""BAI04.05""","""Define corrective actions (e.g., shifting workload, prioritizing tasks or adding resources when performance and capacity issues are identified).""",5
670,"""BAI04.05""","""Integrate required corrective actions into the appropriate planning and change management processes.""",5
671,"""BAI05.01""","""Assess the scope and impact of the envisioned change, the various stakeholders who are affected, the nature of the impact on and involvement required from each stakeholder group, and the current readiness and ability to adopt the change.""",2
672,"""BAI05.01""","""To establish the desire to change, identify, leverage and communicate current pain points, negative events, risk, customer dissatisfaction and business problems, as well as initial benefits, future opportunities and rewards, and competitive advantages.""",2
673,"""BAI05.01""","""Issue key communications from the executive committee or CEO to demonstrate commitment to the change.""",2
674,"""BAI05.01""","""Provide visible leadership from senior management to establish direction and to align, motivate and inspire stakeholders to desire the change.""",2
675,"""BAI05.04""","""Plan the training opportunities staff will need to develop the appropriate skills and attitudes to feel empowered.""",2
676,"""BAI05.04""","""Identify, prioritize and deliver opportunities for quick wins. These could be related to current known areas of difficulty or external factors that need to be addressed urgently.""",2
677,"""BAI05.04""","""Leverage delivered quick wins by communicating the benefits to those impacted to show the vision is on track. Fine-tune the vision, keep leaders on board and build momentum.""",2
678,"""BAI05.06""","""Make process owners accountable for normal day-to-day operations.""",2
679,"""BAI05.07""","""Sustain and reinforce the change through regular communication that demonstrates top management commitment.""",2
680,"""BAI05.02""","""Identify and assemble an effective core implementation team that includes appropriate members from business and IT with the capacity to spend the required amount of time and contribute knowledge and expertise, experience, credibility, and authority. Consider including external parties such as consultants to provide an independent view or to address skill gaps. Identify potential change agents within different parts of the enterprise with whom the core team can work to support the vision and cascade changes.""",3
681,"""BAI05.02""","""Create trust within the core implementation team through carefully planned events with effective communication and joint activities.""",3
682,"""BAI05.02""","""Develop a common vision and goals that support the enterprise objectives.""",3
683,"""BAI05.03""","""Develop a vision communication plan to address the core audience groups, their behavioral profiles and information requirements, communication channels, and principles.""",3
684,"""BAI05.03""","""Deliver the communication at appropriate levels of the enterprise, in accordance with the plan.""",3
685,"""BAI05.03""","""Reinforce the communication through multiple forums and repetition.""",3
686,"""BAI05.03""","""Make all levels of leadership accountable for demonstrating the vision.""",3
687,"""BAI05""","""Identify organizational structures compatible with the vision; if required, make changes to ensure alignment.""",3
688,"""BAI05.04""","""Align HR processes and measurement systems (e.g., performance evaluation, compensation decisions, promotion decisions, recruiting and hiring) to support the vision.""",3
689,"""BAI05.04""","""Identify and manage leaders who continue to resist needed change.""",3
690,"""BAI05.05""","""Develop a plan for operation and use of the change. The plan should communicate and build on realized quick wins, address behavioral and cultural aspects of the broader transition, and increase buy-in and engagement. Ensure that the plan covers a holistic view of the change and provides documentation (e.g., procedures), mentoring, training, coaching, knowledge transfer, enhanced immediate post-go-live support and ongoing support.""",3
691,"""BAI05.06""","""Celebrate successes and implement reward and recognition programs to reinforce the change.""",3
692,"""BAI05.06""","""Provide ongoing awareness through regular communication of the change and its adoption.""",3
693,"""BAI05.07""","""Provide mentoring, training, coaching and knowledge transfer to new staff to sustain the change.""",3
694,"""BAI05.03""","""Check understanding of the desired vision and respond to any issues highlighted by staff.""",4
695,"""BAI05.05""","""Implement the operation and use plan. Define and track success measures, including hard business measures and perception measures that indicate how people feel about a change. Take remedial action as necessary.""",4
696,"""BAI05.06""","""Use performance measurement systems to identify root causes for low adoption. Take corrective action.""",4
697,"""BAI05.06""","""Conduct compliance audits to identify root causes for low adoption. Recommend corrective action.""",4
698,"""BAI05.07""","""Perform periodic reviews of the operation and use of the change. Identify improvements.""",4
699,"""BAI05.07""","""Capture lessons learned relating to implementation of the change. Share knowledge across the enterprise.""",5
700,"""BAI06.01""","""Use formal change requests to enable business process owners and IT to request changes to business process, infrastructure, systems or applications. Make sure that all such changes arise only through the change request management process.""",2
701,"""BAI06.01""","""Categorize all requested changes (e.g., business process, infrastructure, operating systems, networks, application systems, purchased/packaged application software) and relate affected configuration items.""",2
702,"""BAI06.01""","""Prioritize all requested changes based on the business and technical requirements; resources required; and the legal, regulatory and contractual reasons for the requested change.""",2
703,"""BAI06.01""","""Formally approve each change by business process owners, service managers and IT technical stakeholders, as appropriate. Changes that are low-risk and relatively frequent should be pre-approved as standard changes.""",2
704,"""BAI06.01""","""Plan and schedule all approved changes.""",2
705,"""BAI06.02""","""Define what constitutes an emergency change.""",2
706,"""BAI06.02""","""Ensure that a documented procedure exists to declare, assess, approve preliminarily, authorize after the change and record an emergency change.""",2
707,"""BAI06.04""","""Include changes in the documentation within the management procedure. Examples of documentation include business and IT operational procedures, business continuity and disaster recovery documentation, configuration information, application documentation, help screens, and training materials.""",2
708,"""BAI06.01""","""Plan and evaluate all requests in a structured fashion. Include an impact analysis on business process, infrastructure, systems and applications, business continuity plans (BCPs) and service providers to ensure that all affected components have been identified. Assess the likelihood of adversely affecting the operational environment and the risk of implementing the change. Consider security, privacy, legal, contractual and compliance implications of the requested change. Consider also interdependencies among changes. Involve business process owners in the assessment process, as appropriate.""",3
709,"""BAI06.01""","""Consider the impact of contracted services providers (e.g., of outsourced business processing, infrastructure, application development and shared services) on the change management process. Include integration of organizational change management processes with change management processes of service providers and the impact on contractual terms and SLAs.""",3
710,"""BAI06.02""","""Verify that all emergency access arrangements for changes are appropriately authorized, documented and revoked after the change has been applied.""",3
711,"""BAI06.04""","""Define an appropriate retention period for change documentation and pre- and post-change system and user documentation.""",3
712,"""BAI06.04""","""Subject documentation to the same level of review as the actual change.""",3
713,"""BAI06.02""","""Monitor all emergency changes and conduct post-implementation reviews involving all concerned parties. The review should consider and initiate corrective actions based on root causes such as problems with business process, application system development and maintenance, development and test environments, documentation and manuals, and data integrity.""",4
714,"""BAI06.03""","""Categorize change requests in the tracking process (e.g., rejected, approved but not yet initiated, approved and in process, and closed).""",4
715,"""BAI06.03""","""Implement change status reports with performance metrics to enable management review and monitoring of both the detailed status of changes and the overall state (e.g., aged analysis of change requests). Ensure that status reports form an audit trail so changes can subsequently be tracked from inception to eventual disposition.""",4
716,"""BAI06.03""","""Monitor open changes to ensure that all approved changes are closed in a timely fashion, depending on priority.""",4
717,"""BAI06.03""","""Maintain a tracking and reporting system for all change requests.""",4
718,"""BAI07.01""","""Create an implementation plan that reflects the broad implementation strategy, the sequence of implementation steps, resource requirements, inter-dependencies, criteria for management acceptance of the production implementation, installation verification requirements, transition strategy for production support, and update of business continuity plans.""",2
719,"""BAI07.01""","""From external solution providers, obtain commitment to their involvement in each step of the implementation.""",2
720,"""BAI07.01""","""Identify and document the fallback and recovery processes.""",2
721,"""BAI07.02""","""Define a business process, I&T service data and infrastructure migration plan. In developing the plan, consider, for example, hardware, networks, operating systems, software, transaction data, master files, backups and archives, interfaces with other systems (both internal and external), possible compliance requirements, business procedures, and system documentation.""",2
722,"""BAI07.02""","""In the business process conversion plan, consider all necessary adjustments to procedures, including revised roles and responsibilities and control procedures.""",2
723,"""BAI07.02""","""Confirm that the data conversion plan does not require changes in data values unless absolutely necessary for business reasons. Document changes made to data values, and secure approval from the business process data owner.""",2
724,"""BAI07.02""","""Plan retention of backup and archived data to conform to business needs and regulatory or compliance requirements.""",2
725,"""BAI07.02""","""Rehearse and test the conversion before attempting a live conversion.""",2
726,"""BAI07.02""","""Coordinate and verify the timing and completeness of the conversion cutover so there is a smooth, continuous transition with no loss of transaction data. Where necessary, in the absence of any other alternative, freeze live operations.""",2
727,"""BAI07.02""","""Plan to back up all systems and data taken at the point prior to conversion. Maintain audit trails to enable the conversion to be retraced. Ensure that there is a recovery plan that covers rollback of migration and fallback to previous processing should the migration fail.""",2
728,"""BAI07.03""","""Develop and document the test plan, which aligns to the program, project quality plan and relevant organizational standards. Communicate and consult with appropriate business process owners and IT stakeholders.""",2
729,"""BAI07.03""","""Ensure that the test plan reflects an assessment of risk from the project and that all functional and technical requirements are tested. Based on assessment of the risk of system failure and faults on implementation, include in the plan requirements for performance, stress, usability, pilot, security testing and privacy.""",2
730,"""BAI07.03""","""Ensure that the test plan addresses the potential need for internal or external accreditation of outcomes of the test process (e.g., financial or regulatory requirements).""",2
731,"""BAI07.03""","""Ensure that the test plan identifies necessary resources to execute testing and evaluate the results. Examples of resources may be construction of test environments and use of staff time for the test group, including potential temporary replacement of test staff in the production or development environments. Ensure that stakeholders are consulted on the resource implications of the test plan.""",2
732,"""BAI07.03""","""Ensure that the test plan identifies testing phases appropriate to the operational requirements and environment. Examples of such testing phases include unit test, system test, integration test, user acceptance test, performance test, stress test, data conversion test, security test, privacy test, operational readiness test, and backup and recovery tests.""",2
733,"""BAI07.03""","""Confirm that the test plan considers test preparation (including site preparation), training requirements, installation or an update of a defined test environment, planning/performing/documenting/retaining test cases, error and problem handling, correction and escalation, and formal approval.""",2
734,"""BAI07.03""","""Confirm that all test plans are approved by stakeholders, including business process owners and IT, as appropriate. Stakeholders may include application development managers, project managers and business process end users.""",2
735,"""BAI07.04""","""Create a database of test data that are representative of the production environment. Sanitize data used in the test environment from the production environment according to business needs and organizational standards. For example, consider whether compliance or regulatory requirements oblige the use of sanitized data.""",2
736,"""BAI07.05""","""Review the categorized log of errors found in the testing process by the development team. Verify that all errors have been remediated or formally accepted.""",2
737,"""BAI07.06""","""Prepare for transfer of business procedures and supporting services, applications and infrastructure from testing to the production environment in accordance with organizational change management standards.""",2
738,"""BAI07.06""","""Determine the extent of pilot implementation or parallel processing of the old and new systems in line with the implementation plan.""",2
739,"""BAI07.06""","""Promptly update relevant business process and system documentation, configuration information and contingency plan documents, as appropriate.""",2
740,"""BAI07.06""","""Ensure that all media libraries are updated promptly with the version of the solution component being transferred from testing to the production environment. Archive the existing version and its supporting documentation. Ensure that promotion to production of systems, application software and infrastructure is under configuration control.""",2
741,"""BAI07.06""","""Where distribution of solution components is conducted electronically, control automated distribution to ensure that users are notified, and distribution occurs only to authorized and correctly identified destinations. In the release process, include backup procedures to enable the distribution of changes to be reviewed in the event of a malfunction or error.""",2
742,"""BAI07.06""","""Where distribution takes physical form, keep a formal log of what items have been distributed, to whom, where they have been implemented, and when each has been updated.""",2
743,"""BAI07.01""","""Confirm that all implementation plans are approved by technical and business stakeholders and reviewed by internal audit, as appropriate.""",3
744,"""BAI07.01""","""Formally review the technical and business risk associated with implementation. Ensure that the key risk is considered and addressed in the planning process.""",3
745,"""BAI07.02""","""In the data conversion plan, incorporate methods for collecting, converting and verifying data to be converted, and identifying and resolving any errors found during conversion. Include comparing the original and converted data for completeness and integrity.""",3
746,"""BAI07.02""","""Consider the risk of conversion problems, business continuity planning and fallback procedures in the business process, data and infrastructure migration plan where there are risk management, business needs or regulatory/compliance requirements.""",3
747,"""BAI07.03""","""Ensure that the test plan establishes clear criteria for measuring the success of undertaking each testing phase. Consult the business process owners and IT stakeholders in defining the success criteria. Determine that the plan establishes remediation procedures when the success criteria are not met. For example, if there is a significant failure in a testing phase, the plan should provide guidance on whether to proceed to the next phase, stop testing or postpone implementation.""",3
748,"""BAI07.04""","""Protect sensitive test data and results against disclosure, including access, retention, storage and destruction. Consider the effect of interaction of organizational systems with those of third parties.""",3
749,"""BAI07.04""","""Put in place a process to enable proper retention or disposal of test results, media and other associated documentation that will enable adequate review and subsequent analysis or efficient retesting as required by the test plan. Consider the effect of regulatory or compliance requirements.""",3
750,"""BAI07.04""","""Ensure that the test environment is representative of the future business and operational landscape. Include business process procedures and roles, likely workload stress, operating systems, necessary application software, database management systems, and network and computing infrastructure found in the production environment.""",3
751,"""BAI07.04""","""Ensure that the test environment is secure and incapable of interacting with production systems.""",3
752,"""BAI07.05""","""Evaluate the final acceptance against the success criteria and interpret the final acceptance testing results. Present them in a form that is understandable to business process owners and IT, so an informed review and evaluation can take place.""",3
753,"""BAI07.05""","""Approve the acceptance, with formal sign-off by the business process owners, third parties (as appropriate) and IT stakeholders prior to promotion.""",3
754,"""BAI07.05""","""Ensure that testing of changes is undertaken in accordance with the testing plan. Ensure that the testing is designed and conducted by a test group that is independent from the development team. Consider the extent to which business process owners and end users are involved in the test group. Ensure that testing is conducted only within the test environment.""",3
755,"""BAI07.05""","""Ensure that the tests and anticipated outcomes are in accordance with the defined success criteria set out in the testing plan.""",3
756,"""BAI07.05""","""Consider using clearly defined test instructions (scripts) to implement the tests. Ensure that the independent test group assesses and approves each test script to confirm that it adequately addresses test success criteria set out in the test plan. Consider using scripts to verify the extent to which the system meets security and privacy requirements.""",3
757,"""BAI07.05""","""Consider the appropriate balance between automated scripted tests and interactive user testing.""",3
758,"""BAI07.05""","""Undertake tests of security in accordance with the test plan. Measure the extent of security weaknesses or loopholes. Consider the effect of security incidents since construction of the test plan. Consider the effect on access and boundary controls. Consider privacy.""",3
759,"""BAI07.05""","""Undertake tests of system and application performance in accordance with the test plan. Consider a range of performance metrics (e.g., end-user response times and database management system update performance).""",3
760,"""BAI07.05""","""When undertaking testing, ensure that the fallback and rollback elements of the test plan have been addressed.""",3
761,"""BAI07.05""","""Identify, log and classify (e.g., minor, significant, mission-critical) errors during testing. Ensure that an audit trail of test results is available. In accordance with the test plan, communicate results of testing to stakeholders to facilitate bug fixing and further quality enhancement.""",3
762,"""BAI07.07""","""Provide additional resources, as required, to end users and support personnel until the release has stabilized.""",3
763,"""BAI07.07""","""Provide additional I&T systems resources, as required, until the release is in a stable operational environment.""",3
764,"""BAI07.08""","""Establish procedures to ensure that post-implementation reviews identify, assess and report on the extent to which the following events have occurred: enterprise requirements have been met; expected benefits have been realized; the system is considered usable; internal and external stakeholder expectations are met; unexpected impacts on the enterprise have occurred; key risk is mitigated; and the change management, installation and accreditation processes were performed effectively and efficiently.""",3
765,"""BAI07.08""","""Consult business process owners and IT technical management in the choice of metrics for measurement of success and achievement of requirements and benefits.""",4
766,"""BAI07.08""","""Conduct the post-implementation review in accordance with the organizational change management process. Engage business process owners and third parties, as appropriate.""",4
767,"""BAI07.08""","""Consider requirements for post-implementation review arising from outside business and IT (e.g., internal audit, ERM, compliance).""",4
768,"""BAI07.08""","""Agree on and implement an action plan to address issues identified in the post-implementation review. Engage business process owners and IT technical management in the development of the action plan.""",5
769,"""BAI08.01""","""Identify potential knowledge users, including owners of information who may need to contribute and approve knowledge. Obtain knowledge requirements and sources of information from identified users.""",2
770,"""BAI08.01""","""Consider content types (procedures, processes, structures, concepts, policies, rules, facts, classifications), artefacts (documents, records, video, voice), and structured and unstructured information (experts, social media, email, voice mail, Rich Site Summary (RSS) feeds).""",2
771,"""BAI08.03""","""Set management expectations and demonstrate appropriate attitude regarding the usefulness of knowledge and the need to share knowledge related to the governance and management of enterprise I&T.""",2
772,"""BAI08.03""","""Identify potential knowledge users by knowledge classification.""",2
773,"""BAI08.01""","""Classify sources of information based on a content classification scheme (e.g., information architecture model). Map sources of information to the classification scheme.""",3
774,"""BAI08.02""","""Identify shared attributes and match sources of information, creating relationships among information sets (information tagging).""",3
775,"""BAI08.02""","""Create views to related data sets, considering stakeholder and organizational requirements.""",3
776,"""BAI08.02""","""Devise and implement a scheme to manage unstructured knowledge not available through formal sources (e.g., expert knowledge).""",3
777,"""BAI08.02""","""Publish and make knowledge accessible to relevant stakeholders, based on roles and access mechanisms.""",3
778,"""BAI08.03""","""Transfer knowledge to knowledge users, based on a needs gap analysis and effective learning techniques. Create an environment, tools and artifacts that support the sharing and transfer of knowledge. Ensure appropriate access controls are in place, in line with defined knowledge classification.""",3
779,"""BAI08.04""","""Define the controls for knowledge retirement and retire knowledge accordingly.""",3
780,"""BAI08.01""","""Collect, collate and validate information sources based on information validation criteria (e.g., understandability, relevance, importance, integrity, accuracy, consistency, confidentiality, currency and reliability).""",4
781,"""BAI08.03""","""Measure the use of knowledge tools and elements and evaluate the impact on governance processes.""",4
782,"""BAI08.04""","""Evaluate the usefulness, relevance and value of knowledge elements. Update outdated information that still has relevance and value to the organization. Identify related information that is no longer relevant to the enterprise’s knowledge requirements and retire or archive according to policy.""",4
783,"""BAI08.03""","""Improve information and knowledge for governance processes that show knowledge gaps.""",5
784,"""BAI09.01""","""Identify all owned assets in an asset register that records current status. Assets are reported on the balance sheet; they are bought or created to increase the value of a firm or benefit the enterprise’s operations (e.g., hardware and software). Identify all owned assets and maintain alignment with the change management and configuration management processes, the configuration management system, and the financial accounting records.""",2
785,"""BAI09.01""","""Identify legal, regulatory or contractual requirements that need to be addressed when managing the asset.""",2
786,"""BAI09.01""","""Verify that the assets are fit for purpose (i.e., in a useful condition).""",2
787,"""BAI09.02""","""Identify assets that are critical in providing service capability by referencing requirements in service definitions, SLAs and the configuration management system.""",2
788,"""BAI09.02""","""On a regular basis, consider the risk of failure or need for replacement of each critical asset.""",2
789,"""BAI09.02""","""Communicate to affected customers and users the expected impact (e.g., performance restrictions) of maintenance activities.""",2
